symbol,n_trades,total_pnl,total_entry_notional,return_rate
300015,69,17470.230199999976,1632916.0,0.010698792956894278
300142,17,3142.2566999999854,324177.0,0.00969302788291577
600026,36,2456.3725499999728,600151.0,0.004092924197410273
601059,5,207.27744999999547,79704.0,0.0026005903091437755
600803,5,148.78289999999743,91563.0,0.0016249238229415531
002601,25,427.864450000019,428842.0,0.0009977204891312395
600732,45,339.5005999999992,780564.0,0.00043494268247062283
300450,30,164.66970000000012,520904.0,0.0003161229324405267
300059,92,467.3998999999668,1726693.0000000002,0.0002706907944840031
601865,16,55.894250000001705,288854.0,0.00019350346541852182
300442,21,51.25910000000039,388060.0,0.0001320906560841117
002050,92,-32.69159999998601,1670672.0,-0.000019567934340185273
603659,15,-42.60450000000873,235348.0,-0.0001810276696636841
300413,11,-51.957249999999675,200887.0,-0.00025863918521357615
600023,29,-201.28125000001234,487136.0,-0.00041319313292389055
601898,41,-371.00485000001805,710165.0,-0.0005224206346412707
300418,71,-716.236199999994,1179187.0,-0.0006073983176544467
001965,17,-179.43865000000216,295138.0,-0.0006079821981581571
600048,60,-957.1083500000111,1398779.0,-0.0006842455813248635
002027,60,-895.7212000000189,988948.0,-0.0009057313428006517
688599,6,-123.16459999999816,128972.0,-0.0009549716217473418
300759,69,-1123.2361000000117,1154466.0,-0.000972948618668728
002709,25,-433.7985500000224,400444.0,-0.0010832939187502431
002129,64,-1337.5966999999719,1119631.0,-0.001194676371054367
002460,40,-961.6225000000052,714455.0,-0.0013459525092553138
601872,66,-1673.7471500000015,1144385.0,-0.0014625734783311575
600438,36,-966.0783500000067,621372.0,-0.0015547503749766753
300433,80,-2359.200399999947,1400289.0,-0.001684795352959244
000708,15,-519.4021500000179,257680.99999999997,-0.002015678882028624
002271,4,-301.29970000001856,139089.0,-0.0021662367261251324
600460,6,-213.77625000001967,98444.99999999997,-0.0021715297882068134
002812,10,-431.1641499999997,178179.0,-0.0024198370739537192
000002,185,-8952.87965000003,3486740.9999999995,-0.0025676927681178587
300919,4,-201.29925000000114,77848.0,-0.0025857986075429186
000786,30,-1433.3141000000182,554108.0,-0.0025867052993279616
601138,63,-2824.708899999979,1083435.0,-0.00260717892628536
000425,199,-9700.432500000048,3588352.0,-0.002703311297219461
300316,20,-849.712550000013,310872.0,-0.002733319662111779
601012,35,-1708.4762500000236,606616.0,-0.0028164048590871714
600426,32,-1601.0924999999932,544152.0,-0.0029423626119172456
002466,40,-2057.2674999999977,668845.0,-0.0030758509071608484
601225,74,-5131.514100000058,1657769.0,-0.0030954337425781625
002459,35,-2140.4785000000097,687846.0,-0.003111857159887547
688303,34,-1948.5501500000012,604266.0,-0.003224656277202426
002555,31,-1845.108299999985,565354.0,-0.003263633581791205
601881,31,-1665.3397500000085,510189.0,-0.0032641623986405205
603993,10,-701.4780000000026,207283.0,-0.003384155960691434
002180,29,-1962.3068499999945,529179.0,-0.003708209981877577
002241,71,-4672.34915000001,1247131.9999999998,-0.0037464752327740856
600061,5,-403.21985000000603,105215.0,-0.0038323418714062258
002736,8,-566.1778999999979,145138.0,-0.0039009625322107087
001979,160,-11336.52295000003,2881643.0,-0.003934048371016128
600690,67,-5300.672400000009,1257180.0,-0.004216319381472827
603806,30,-2241.826450000023,528683.0,-0.004240398215944192
600183,9,-968.8281999999883,216772.0,-0.004469341981436663
300122,34,-2440.0191500000064,504529.00000000006,-0.004836231713142369
600584,13,-1608.3595999999875,241599.99999999994,-0.006657117549668824
002410,23,-3331.8755000000237,481869.0,-0.006914484019515727
603899,4,-1251.6593500000045,124085.0,-0.010087112463230886
000792,9,-1561.6636499999931,149502.0,-0.010445770959585779
000617,15,-2861.2268500000037,273420.0,-0.010464585070587389
