symbol,n_trades,total_pnl,total_entry_notional,return_rate
300015,413,26139.45374999998,3854280.0,0.0067819291151654726
601800,76,3444.813099999991,736351.0,0.004678221527505213
601225,21,543.356600000004,165903.0,0.0032751463204402816
300142,90,2550.697800000006,846835.0,0.0030120363471042243
688223,275,7620.556000000024,2656232.0,0.002868934641251225
600460,973,19613.36540000003,8315534.0,0.0023586417180183534
300059,1129,22780.22165,9821845.0,0.0023193424097000103
600837,139,2550.715349999998,1309709.0,0.0019475435764738564
601236,96,1732.473450000007,913719.0,0.0018960681019000447
002271,57,1015.2149999999997,536162.0,0.0018934855510088363
600039,175,3181.7787000000008,1685546.0,0.0018876842874653084
600438,66,964.0016999999955,582442.0,0.0016551033407618192
002180,4,58.36425000000081,35775.0,0.0016314255765199387
601881,189,2496.576400000004,1767667.0,0.001412356739136955
002459,141,1743.4829499999912,1311951.0,0.001328923831758954
300450,58,665.279199999995,548371.0,0.0012131917989827961
601865,67,446.4278500000072,580220.0,0.0007694113439729881
603806,66,421.9454500000017,611018.0,0.0006905614073562509
002410,135,819.5729000000052,1223706.0,0.0006697465731147884
000617,847,5323.847350000082,8101696.0,0.0006571275137946526
002709,76,439.509999999991,700180.0,0.0006277100174240781
601211,226,983.8543500000125,2113749.0,0.0004654546731896798
002555,54,220.37625000000807,492585.0,0.00044738725296143423
300122,147,182.50805000000543,1225291.0,0.00014895077985556526
601066,189,131.87564999998133,1640010.0,0.00008041149139333378
601138,305,170.38799999998642,2665658.0,0.00006391967761805394
601012,418,150.91365000001923,3861605.0,0.00003908055070366317
001965,6,-13.633600000000683,57048.0,-0.0002389847146262916
688126,236,-672.678500000012,2073910.0,-0.0003243527925512737
000002,308,-962.6702499999664,2903662.0,-0.0003315366079109643
600026,2,-8.303100000000127,17874.0,-0.00046453507888553913
002241,67,-486.7124000000016,617300.0,-0.0007884535882067092
300413,20,-136.5402499999983,161954.0,-0.0008430804425948004
300759,103,-742.9985999999958,873352.0,-0.0008507435718931151
600188,20,-168.94434999999777,194928.0,-0.0008667012948370566
002129,98,-832.5491999999931,929383.0,-0.0008958085095165213
600570,327,-2717.670799999986,2726181.0,-0.000996878343734325
600048,101,-1173.6608000000087,947399.0,-0.001238824191285835
601872,44,-531.6217500000031,422955.0,-0.0012569227222754267
001979,87,-1164.460150000009,813991.0,-0.001430556541779957
300433,121,-1731.171200000006,1122916.0,-0.0015416747111983496
300442,26,-352.41125000000324,206764.0,-0.0017044130022634658
601600,198,-3278.111150000014,1891458.0,-0.0017331133707436347
002050,76,-1185.7317500000004,672142.0,-0.0017641089978010604
600023,24,-459.0359999999997,233885.0,-0.0019626568612779774
300498,17,-324.4915000000059,163278.0,-0.0019873559205772114
688303,42,-757.8932999999965,369780.0,-0.002049578938828483
688599,381,-9422.659849999978,3278300.0,-0.002874251853094585
603993,155,-4465.897499999998,1490599.0,-0.002996042195117532
600415,186,-5886.957450000012,1803788.0,-0.003263663717687451
603659,24,-758.3854500000006,209036.0,-0.003628013595744276
600732,50,-2325.328349999994,470133.0,-0.004946107484477783
000786,7,-337.2696000000003,61821.0,-0.005455583054301941
688009,70,-3719.085199999991,678410.0,-0.005482061290370117
