symbol,n_trades,total_pnl,total_entry_notional,return_rate
000021,10,680.8314499999993,177036.0,0.003845723186244602
600801,6,265.2880999999948,95953.99999999999,0.002764742480771983
300058,259,9434.10344999987,4804903.000000001,0.0019634326541034994
002465,13,409.2814499999983,227149.0,0.001801819290421698
600352,10,329.2313000000099,196052.0,0.001679306000448911
600707,15,417.0643499999869,275039.0,0.001516382585742338
600765,5,131.30015000000068,96955.0,0.0013542380485792448
601615,16,277.9478499999893,290924.0,0.0009553967702904858
600295,10,156.57199999998036,184342.0,0.0008493560881404149
002739,16,183.59955000000306,266809.0,0.0006881310225667165
601567,5,65.28240000000545,98424.00000000001,0.0006632772494514086
603806,12,114.53440000001834,196883.00000000003,0.0005817383928527009
603298,14,131.23259999999703,241020.0,0.0005444884241971497
688387,7,60.53480000002304,114360.00000000003,0.0005293354319694213
601179,23,178.35059999997873,392154.0,0.0004547973500206009
600602,22,132.3634000000018,389727.0,0.00033963107508589807
002203,17,91.86454999998679,296481.0,0.0003098497036909171
002131,668,3128.604449999999,12898937.0,0.00024254746340725587
000878,30,58.57504999999841,505878.0,0.00011578888585785191
600862,6,-8.543900000004696,98193.00000000001,-0.0000870112940841475
002185,38,-61.347250000017524,664205.0,-0.0000923619213947765
601155,6,-18.156449999984435,98957.00000000001,-0.00018347817739002226
002202,49,-227.9765000000405,886528.9999999999,-0.00025715628027965303
603225,18,-142.11380000002094,322793.0,-0.0004402629548968563
600977,29,-268.4507000000044,511370.0,-0.0005249637248958767
002945,10,-106.97155000000167,157468.0,-0.000679322465516814
601212,168,-2128.0605999999952,3095016.0,-0.0006875766070353095
603000,22,-252.80360000001474,345994.0,-0.0007306589131603864
600909,32,-444.40674999999516,539256.0,-0.0008241109046538104
000559,107,-1658.8282999999874,1950934.9999999998,-0.0008502734842524162
601918,19,-284.13850000000633,327669.0,-0.0008671509968901737
300144,13,-233.522749999999,235645.0,-0.0009909938678944981
002130,6,-104.85284999999675,97311.0,-0.0010775025433917723
300017,137,-2650.1850499999473,2445172.9999999995,-0.0010838435767121376
002195,213,-5073.679949999927,3876362.0,-0.0013088767122368672
000739,12,-268.1768000000104,195200.0,-0.0013738565573771025
300383,5,-109.77329999999972,79754.0,-0.0013763986759284766
600879,83,-1913.5832500000029,1358378.0,-0.0014087266210141823
002340,130,-3314.391300000035,2275108.0,-0.001456806138433883
002436,6,-141.1624000000036,96505.00000000001,-0.0014627470079270875
003035,78,-2080.8856000000333,1321818.0,-0.0015742602990729687
601608,75,-1994.1031500000022,1266195.0,-0.0015748783955078028
002153,12,-329.85335000000526,201035.0,-0.0016407757355684596
002271,5,-161.27644999999376,97830.0,-0.0016485377696002633
000060,184,-5310.563950000082,3210969.0,-0.0016538820368555665
000932,80,-2361.311950000057,1405157.9999999998,-0.001680460097725706
000050,8,-234.6584000000012,133299.0,-0.0017603913007599547
688469,76,-2316.092450000024,1311128.0,-0.0017664884359116914
002429,49,-1559.1714999999474,867958.0,-0.001796367450959548
002624,26,-954.27249999998,517358.0,-0.0018445109575960553
600583,83,-2915.8314500000083,1435708.0,-0.0020309362697707393
601108,11,-409.0503000000011,198766.0,-0.0020579490456114277
601699,6,-224.5446999999986,108155.0,-0.0020761379501641037
601118,56,-1995.3368000000107,954622.0,-0.0020901852251467186
300432,16,-596.6397499999866,274252.0,-0.002175516495777557
002273,16,-713.2269000000033,313947.0,-0.002271806706227495
600126,84,-3405.33320000006,1466955.0,-0.0023213617322958508
002044,207,-8421.29855000005,3626955.0,-0.0023218646357619686
600517,14,-556.7623000000008,223382.0,-0.002492422397507412
600348,59,-2633.5491500000053,995128.0,-0.0026464426184370305
601666,30,-1244.3416499999712,461513.00000000006,-0.002696222316597736
000987,18,-811.2147500000249,297661.0,-0.0027252974020782867
000738,7,-605.0988499999962,212542.0,-0.002846961306471174
300140,24,-1126.0607500000099,341166.0,-0.003300624182949092
002065,48,-2657.2331499999946,804914.0,-0.0033012634269002582
000683,42,-2605.470599999959,701455.0000000001,-0.0037143802524751534
600131,5,-369.17820000001933,96417.99999999997,-0.0038289344313304514
600497,67,-5065.859150000056,1247073.0,-0.004062199366035553
000703,24,-1742.55255000001,426678.0,-0.0040839990578375495
601233,24,-2028.1582000000046,490063.0,-0.004138566265969895
002244,11,-935.2786000000042,193952.0,-0.004822216837155607
000830,5,-499.25930000000704,96494.99999999999,-0.005173939582361854
600884,12,-1174.7088499999986,215291.0,-0.0054563769502673064
600601,5,-660.1753000000018,98192.0,-0.006723310452990078
002517,25,-3546.841499999981,463960.0,-0.007644713983964093
000997,12,-1471.1299500000025,182414.0,-0.008064786419901994
601001,6,-899.7553000000024,97040.00000000001,-0.009272004328112142
