symbol,n_trades,total_pnl,total_entry_notional,return_rate
300251,4,199.25255000000874,81969.0,0.0024308281179471355
300433,18,420.0346499999603,303168.0000000001,0.0013854847807155113
600522,50,1072.1545500000157,880901.0000000006,0.00121711128719347
000301,6,97.39454999999623,99540.0,0.0009784463532247964
688472,5,63.00979999999913,76261.0,0.0008262388376758648
600989,6,77.25540000000308,98304.0,0.0007858825683594063
601600,22,157.0621999999858,388760.0,0.00040400812840823595
000617,88,-270.5205000000326,1518877.0000000012,-0.00017810560038767614
688223,75,-1500.203200000031,1235157.9999999998,-0.0012145840451181398
000938,42,-1129.3207500000124,766186.0000000001,-0.0014739511685152328
601117,36,-1230.3335000000095,665286.0000000002,-0.001849330212870869
600219,162,-5979.549100000093,3052017.000000002,-0.0019592122520943
600930,61,-2861.7778000000117,1182387.0,-0.0024203393643536437
000338,12,-913.8369000000014,195412.0,-0.004676462550918067
600188,5,-503.11750000000904,96317.0,-0.005223558665656209
