symbol,n_trades,total_pnl,total_entry_notional,return_rate
002410,5,330.8805000000045,83576.0,0.003959037283430704
600732,21,1128.1196999999988,427282.0,0.0026402228504828168
601066,6,160.58639999999664,99312.00000000001,0.001616988883518574
600570,24,633.3578999999997,410983.0,0.0015410805313115135
603659,15,235.62000000002138,285098.0,0.0008264526583842095
601865,21,286.2801000000018,409724.0,0.0006987145004930192
600588,15,69.02094999999687,294809.0,0.0002341209053997567
601698,73,-139.01189999998104,1400738.0,-0.00009924189962718299
300059,1463,-2897.7699000002895,28108050.0,-0.00010309394995384914
002129,9,-19.107299999989664,156298.0,-0.00012224916505642851
600415,133,-1204.3002000000427,2450235.0,-0.0004915039577836586
002050,227,-2063.9788000000717,3989311.0,-0.0005173772613867587
601138,57,-592.5162000000225,1006033.0,-0.0005889629863036526
000938,87,-947.7649500000133,1603998.9999999995,-0.0005908762723667618
002709,51,-584.3788000000111,899876.0,-0.0006493992505634232
300450,41,-501.59610000000475,699131.0,-0.0007174565281756992
601788,143,-1874.585149999975,2566517.0,-0.0007304004415322303
002241,420,-7620.935849999961,7628393.0,-0.0009990224481093149
600460,58,-1383.5711000000017,1096513.0,-0.001261791789062238
002555,45,-983.3440999999945,761314.0,-0.0012916406371089911
000617,10,-249.44954999999715,185348.0,-0.001345844303688182
600111,35,-866.1192500000259,588886.0,-0.0014707757528622278
002459,42,-1088.52395,714876.9999999999,-0.001522673061239906
001979,12,-336.0976999999986,192748.0,-0.0017437156286965291
601360,295,-11997.843950000035,5492299.0,-0.002184484848694515
000301,10,-554.7545999999963,198579.0,-0.002793621682050954
600438,31,-1597.8709000000006,560773.0,-0.002849407692595757
601881,21,-1250.9730000000045,348943.0,-0.0035850353782709626
600104,353,-25474.587950000045,6216980.0,-0.004097582419438384
300413,25,-1921.074199999998,416901.0,-0.004607986548365195
002180,7,-1665.5442999999968,140693.0,-0.011838146176426666
