symbol,n_trades,total_pnl,total_entry_notional,return_rate
002867,5,1083.0036499999997,89057.0,0.012160791964696764
603707,4,655.8491500000043,76573.0,0.008565018348504098
603712,6,925.0515999999799,113875.99999999999,0.008123323615160175
002261,221,9394.516749999972,3711902.0,0.0025309172359615022
000062,16,643.4759499999996,281861.0,0.0022829548962077038
300142,15,494.36889999999994,249669.0,0.0019800972487573547
002152,59,1199.0770499999808,1049656.0,0.001142352399262216
002384,29,486.2080499999953,486242.0,0.0009999301787998471
000997,21,350.1567500000017,368354.0,0.0009505984732078427
000519,142,2054.2679499999876,2637083.0,0.0007789925269701362
600988,74,954.9964999999831,1243538.0,0.0007679672836696451
000818,6,62.96384999999002,100072.0,0.0006291854864496565
000582,12,108.97450000000666,211265.0,0.000515818995100971
002153,57,416.91949999998315,1000644.0,0.00041665117664222557
002465,216,622.3151499999899,3847582.0,0.0001617418810047427
002436,13,18.531199999992907,256878.0,0.00007214008206227433
600673,6,-10.147250000001302,98947.0,-0.00010255237652481937
300748,152,-1330.4405000000202,3002340.0,-0.0004431345217397164
603056,40,-365.60955000001803,690099.0,-0.0005297928992796947
601858,3,-26.59304999999859,44484.0,-0.0005978115727002651
002414,46,-524.3143500000083,789197.0,-0.0006643643475583514
603883,24,-274.3973499999872,411925.00000000006,-0.0006661342477392419
000559,130,-1546.752700000032,2320701.0,-0.0006665023628636485
002312,16,-254.96994999999396,342466.0,-0.0007445117179515454
600879,48,-681.0842000000257,836353.0,-0.0008143501607575099
002568,11,-180.02520000000024,194793.0,-0.0009241872141196051
300450,77,-1320.0447000000127,1417682.0,-0.0009311289132541802
603298,6,-91.5491499999992,98184.00000000001,-0.0009324243257557156
000729,6,-106.19044999999304,99010.00000000001,-0.001072522472477457
000958,83,-1734.1410500000445,1498826.0,-0.0011569995783366745
002065,28,-597.7070999999931,494596.0,-0.0012084754021463844
000066,14,-338.3031999999998,262855.0,-0.0012870335355994742
002558,111,-2535.344100000017,1880410.0,-0.0013482932445583768
002773,5,-129.93755000000368,96162.0,-0.001351235935192734
600884,230,-5637.765049999936,3917452.9999999995,-0.001439140444058917
002517,40,-1003.3471500000014,688237.0,-0.001457851219855953
301301,2,-115.11020000000492,78878.0,-0.0014593448109739716
002130,216,-5598.100700000036,3726396.9999999995,-0.00150228241918401
002837,73,-1935.0684000000188,1268729.0,-0.001525202308767293
300003,20,-567.1724999999972,371242.0,-0.001527770295386829
300251,95,-3044.5102500000066,1826776.0,-0.0016666029387292184
300383,5,-164.3713000000044,97948.0,-0.0016781486094662923
600398,24,-705.8814000000009,397557.0,-0.0017755476573170662
600126,201,-6704.000900000032,3573693.0,-0.0018759308368122365
600392,99,-3570.135400000044,1846413.0,-0.0019335519193160165
300058,321,-11177.32565000015,5736330.0,-0.0019485151046052353
600521,94,-3276.2539000000234,1573176.0,-0.0020825730242515924
000967,74,-2995.8057000000204,1218079.0,-0.0024594510700866037
600927,5,-246.23464999999982,79009.0,-0.0031165392550215774
002670,13,-750.9075499999918,222448.99999999994,-0.003375639135262429
000032,13,-763.0485500000179,222451.0,-0.0034301870973833244
600435,46,-2890.7743999999866,833001.0000000002,-0.003470313240920462
002624,32,-1967.2418999999911,536104.0,-0.0036695154298419545
600095,127,-8422.143100000007,2274529.0000000005,-0.0037028075263054482
603899,10,-538.3267999999991,142829.0,-0.003769030098929483
600562,25,-1884.0759500000022,408553.0,-0.004611582707751509
603885,6,-538.9811500000013,97851.0,-0.005508182338453376
300002,28,-2997.14234999998,480713.99999999977,-0.006234772338646225
002080,11,-1251.6394500000106,196018.0,-0.006385329153445146
000426,11,-1323.5608000000072,194232.0,-0.006814329255735447
600416,8,-2324.998550000012,144583.99999999997,-0.01608060746693972
