exit_dt,cum_pnl_long,cum_pnl_short,cum_pnl_total
2025-06-04T09:53:02.000000,118.28609999999945,0.0,118.28609999999945
2025-06-04T09:54:42.000000,118.28609999999945,62.650500000000285,180.93659999999974
2025-06-04T10:00:22.000000,96.57279999999851,62.650500000000285,159.2232999999988
2025-06-04T10:09:42.000000,96.57279999999851,55.28250000000028,151.8552999999988
2025-06-04T10:10:22.000000,96.57279999999851,47.91450000000028,144.4872999999988
2025-06-04T10:10:37.000000,96.57279999999851,-79.9370999999993,16.635699999999233
2025-06-04T10:10:42.000000,96.57279999999851,-219.7808999999986,-123.20810000000007
2025-06-04T10:10:47.000000,96.57279999999851,-335.6210999999984,-239.0482999999999
2025-06-04T10:11:02.000000,96.57279999999851,-451.46129999999823,-354.88849999999974
2025-06-04T10:11:07.000000,96.57279999999851,-567.3014999999981,-470.72869999999955
2025-06-04T10:11:12.000000,96.57279999999851,-683.141699999998,-586.5688999999994
2025-06-04T10:11:32.000000,96.57279999999851,-810.9836999999975,-714.410899999999
2025-06-04T10:11:42.000000,96.57279999999851,-938.825699999997,-842.2528999999985
2025-06-04T10:14:22.000000,96.57279999999851,-1082.193299999997,-985.6204999999984
2025-06-04T10:15:27.000000,96.57279999999851,-1102.1054999999967,-1005.5326999999982
2025-06-04T10:15:47.000000,96.57279999999851,-1098.023699999997,-1001.4508999999985
2025-06-04T10:16:42.000000,96.57279999999851,-1095.3501999999971,-998.7773999999987
2025-06-04T10:18:07.000000,96.57279999999851,-1019.2671999999968,-922.6943999999984
2025-06-04T10:18:12.000000,96.57279999999851,-955.1763999999962,-858.6035999999978
2025-06-04T10:18:17.000000,96.57279999999851,-891.0855999999956,-794.5127999999971
2025-06-04T10:18:22.000000,96.57279999999851,-838.9869999999947,-742.4141999999963
2025-06-04T10:18:47.000000,96.57279999999851,-810.8823999999934,-714.3095999999949
2025-06-04T10:18:52.000000,96.57279999999851,-794.7699999999918,-698.1971999999934
2025-06-04T10:20:52.000000,59.31229999999915,-794.7699999999918,-735.4576999999928
2025-06-04T10:21:02.000000,22.051799999999787,-794.7699999999918,-772.7181999999922
2025-06-04T10:22:47.000000,-41.56700000000026,-794.7699999999918,-836.3369999999923
2025-06-04T10:22:52.000000,-119.17670000000001,-794.7699999999918,-913.946699999992
2025-06-04T10:22:57.000000,-146.44369999999958,-794.7699999999918,-941.2136999999916
2025-06-04T10:23:32.000000,-146.44369999999958,-816.7016999999915,-963.1453999999914
2025-06-04T10:30:42.000000,-146.44369999999958,-820.7188499999911,-967.1625499999909
2025-06-04T10:31:57.000000,-146.44369999999958,-809.8129499999915,-956.2566499999913
2025-06-04T10:38:22.000000,-146.44369999999958,-805.7119499999917,-952.1556499999915
2025-06-04T10:38:52.000000,-146.44369999999958,-845.5567499999925,-992.0004499999923
2025-06-04T10:39:02.000000,-146.44369999999958,-894.5950499999926,-1041.0387499999924
2025-06-04T10:39:17.000000,-146.44369999999958,-902.5310499999927,-1048.9747499999924
2025-06-04T10:39:32.000000,-146.44369999999958,-934.4162499999921,-1080.8599499999918
2025-06-04T10:40:52.000000,-146.44369999999958,-929.4656499999924,-1075.9093499999922
2025-06-04T10:41:02.000000,-146.44369999999958,-930.5111499999925,-1076.9548499999923
2025-06-04T10:41:22.000000,-146.44369999999958,-962.396349999992,-1108.8400499999918
2025-06-04T10:44:22.000000,-146.44369999999958,-969.433149999992,-1115.876849999992
2025-06-04T10:46:42.000000,-146.44369999999958,-976.745149999992,-1123.1888499999918
2025-06-04T10:48:07.000000,-146.44369999999958,-1007.4495499999915,-1153.8932499999912
2025-06-04T10:48:12.000000,-146.44369999999958,-1071.3555499999918,-1217.7992499999914
2025-06-04T10:48:17.000000,-146.44369999999958,-1135.261549999992,-1281.7052499999916
2025-06-04T10:48:27.000000,-146.44369999999958,-1191.1663499999925,-1337.610049999992
2025-06-04T10:48:37.000000,-146.44369999999958,-1239.076349999993,-1385.5200499999926
2025-06-04T10:48:42.000000,-146.44369999999958,-1294.9875499999935,-1441.431249999993
2025-06-04T10:48:47.000000,-146.44369999999958,-1358.8999499999936,-1505.3436499999932
2025-06-04T10:48:52.000000,-146.44369999999958,-1422.8059499999938,-1569.2496499999934
2025-06-04T10:48:57.000000,-146.44369999999958,-1494.713149999994,-1641.1568499999935
2025-06-04T10:49:02.000000,-146.44369999999958,-1558.619149999994,-1705.0628499999937
2025-06-04T10:49:17.000000,-146.44369999999958,-1622.5315499999942,-1768.9752499999938
2025-06-04T10:49:27.000000,-146.44369999999958,-1678.4491499999947,-1824.8928499999943
2025-06-04T10:49:32.000000,-146.44369999999958,-1734.3667499999951,-1880.8104499999947
2025-06-04T10:49:32.000000,-146.44369999999958,-1742.2579499999952,-1888.7016499999947
2025-06-04T10:50:42.000000,-146.44369999999958,-1774.2167499999962,-1920.6604499999958
2025-06-04T10:50:47.000000,-146.44369999999958,-1814.176749999997,-1960.6204499999965
2025-06-04T10:50:52.000000,-146.44369999999958,-1854.1303499999976,-2000.5740499999972
2025-06-04T10:51:07.000000,-146.44369999999958,-1902.0851499999983,-2048.528849999998
2025-06-04T10:51:12.000000,-146.44369999999958,-1958.0411499999987,-2104.4848499999985
2025-06-04T10:51:17.000000,-146.44369999999958,-2021.998349999999,-2168.4420499999987
2025-06-04T10:51:22.000000,-146.44369999999958,-2085.955549999999,-2232.399249999999
2025-06-04T10:51:32.000000,-146.44369999999958,-2149.9191499999993,-2296.362849999999
2025-06-04T10:51:52.000000,-146.44369999999958,-2245.89395,-2392.33765
2025-06-04T10:51:57.000000,-146.44369999999958,-2349.863550000001,-2496.3072500000007
2025-06-04T10:52:02.000000,-146.44369999999958,-2469.8291500000014,-2616.272850000001
2025-06-04T10:52:12.000000,-146.44369999999958,-2573.7859500000022,-2720.229650000002
2025-06-04T10:52:22.000000,-146.44369999999958,-2581.7587500000022,-2728.202450000002
2025-06-04T10:52:32.000000,-146.44369999999958,-2685.721950000003,-2832.1656500000026
2025-06-04T10:52:42.000000,-146.44369999999958,-2813.682350000003,-2960.126050000003
2025-06-04T10:52:52.000000,-146.44369999999958,-2949.637550000003,-3096.081250000003
2025-06-04T10:52:57.000000,-146.44369999999958,-3077.5915500000033,-3224.035250000003
2025-06-04T10:54:22.000000,-146.44369999999958,-3029.210350000003,-3175.654050000003
2025-06-04T10:54:42.000000,-146.44369999999958,-3063.969750000003,-3210.4134500000027
2025-06-04T10:54:47.000000,-146.44369999999958,-3098.729150000003,-3245.1728500000027
2025-06-04T10:54:52.000000,-146.44369999999958,-3050.353550000003,-3196.797250000003
2025-06-04T10:56:22.000000,-146.44369999999958,-3162.3563500000023,-3308.800050000002
2025-06-04T10:56:27.000000,-146.44369999999958,-3274.3591500000016,-3420.8028500000014
2025-06-04T10:57:02.000000,-146.44369999999958,-3295.383650000001,-3441.827350000001
2025-06-04T10:57:17.000000,-146.44369999999958,-3358.3976500000012,-3504.841350000001
2025-06-04T10:59:07.000000,-146.44369999999958,-3365.4368500000014,-3511.880550000001
2025-06-04T11:00:32.000000,-146.44369999999958,-3295.503700000002,-3441.947400000002
2025-06-04T11:00:37.000000,-146.44369999999958,-3211.5740500000015,-3358.0177500000013
2025-06-04T11:00:42.000000,-146.44369999999958,-3148.6307500000007,-3295.0744500000005
2025-06-04T11:00:47.000000,-146.44369999999958,-3085.681850000001,-3232.1255500000007
2025-06-04T11:01:12.000000,-146.44369999999958,-3083.000350000001,-3229.444050000001
2025-06-04T11:01:22.000000,-146.44369999999958,-3049.7751500000004,-3196.21885
2025-06-04T11:01:37.000000,-146.44369999999958,-3047.0936500000007,-3193.5373500000005
2025-06-04T11:08:12.000000,-146.44369999999958,-3054.8728500000007,-3201.3165500000005
2025-06-04T11:17:12.000000,-129.462499999999,-3054.8728500000007,-3184.33535
2025-06-04T11:18:57.000000,-129.462499999999,-3062.7928500000007,-3192.25535
2025-06-04T13:11:57.000000,-129.462499999999,-3059.209600000001,-3188.6721000000002
2025-06-04T13:12:02.000000,-129.462499999999,-3066.619200000001,-3196.0817
2025-06-04T13:12:07.000000,-129.462499999999,-3107.0161500000004,-3236.4786499999996
2025-06-04T13:12:12.000000,-129.462499999999,-3147.4130999999998,-3276.875599999999
2025-06-04T13:12:27.000000,-129.462499999999,-3209.8133499999985,-3339.2758499999977
2025-06-04T13:14:22.000000,-129.462499999999,-3294.199299999997,-3423.661799999996
2025-06-04T13:16:42.000000,-129.462499999999,-3323.5945999999967,-3453.057099999996
2025-06-04T13:17:52.000000,-129.462499999999,-3298.0168499999972,-3427.4793499999964
2025-06-04T13:17:57.000000,-129.462499999999,-3272.439099999998,-3401.901599999997
2025-06-04T13:18:02.000000,-129.462499999999,-3235.8684999999987,-3365.330999999998
2025-06-04T13:18:07.000000,-129.462499999999,-3210.290749999999,-3339.7532499999984
2025-06-04T13:18:12.000000,-129.462499999999,-3184.7129999999997,-3314.175499999999
2025-06-04T13:18:17.000000,-129.462499999999,-3137.131950000001,-3266.59445
2025-06-04T13:18:22.000000,-129.462499999999,-3100.5437500000016,-3230.006250000001
2025-06-04T13:19:12.000000,-129.462499999999,-3063.9643500000025,-3193.4268500000017
2025-06-04T13:19:22.000000,-129.462499999999,-3049.388250000003,-3178.8507500000023
2025-06-04T13:20:12.000000,-129.462499999999,-3049.476800000003,-3178.9393000000023
2025-06-04T13:20:27.000000,-129.462499999999,-2990.9293000000025,-3120.3918000000017
2025-06-04T13:20:42.000000,-129.462499999999,-2921.371350000002,-3050.8338500000013
2025-06-04T13:20:47.000000,-129.462499999999,-2872.480550000002,-3001.943050000001
2025-06-04T13:21:07.000000,-129.462499999999,-2795.6023500000024,-2925.0648500000016
2025-06-04T13:21:12.000000,-129.462499999999,-2732.7150500000025,-2862.1775500000017
2025-06-04T13:21:17.000000,-129.462499999999,-2690.8141000000037,-2820.276600000003
2025-06-04T13:25:12.000000,-129.462499999999,-2676.2292000000043,-2805.6917000000035
2025-06-04T13:41:07.000000,-129.462499999999,-2684.2292000000043,-2813.6917000000035
2025-06-04T13:41:17.000000,-129.462499999999,-2692.2292000000043,-2821.6917000000035
2025-06-04T13:41:22.000000,-129.462499999999,-2700.2292000000043,-2829.6917000000035
2025-06-04T13:41:37.000000,-129.462499999999,-2692.2268000000045,-2821.6893000000036
2025-06-04T13:41:42.000000,-129.462499999999,-2700.2140000000045,-2829.6765000000037
2025-06-04T13:41:47.000000,-129.462499999999,-2692.2116000000046,-2821.674100000004
2025-06-04T13:41:52.000000,-129.462499999999,-2700.1988000000047,-2829.661300000004
2025-06-04T13:41:57.000000,-129.462499999999,-2708.1860000000047,-2837.648500000004
2025-06-04T13:42:02.000000,-129.462499999999,-2716.1732000000047,-2845.635700000004
2025-06-04T13:42:07.000000,-129.462499999999,-2724.1604000000048,-2853.622900000004
2025-06-04T13:42:27.000000,-129.462499999999,-2732.147600000005,-2861.610100000004
2025-06-04T13:42:37.000000,-129.462499999999,-2740.134800000005,-2869.597300000004
2025-06-04T13:44:47.000000,-129.462499999999,-2748.122000000005,-2877.584500000004
2025-06-04T14:02:17.000000,-129.462499999999,-2772.0988000000043,-2901.5613000000035
2025-06-04T14:19:07.000000,-129.462499999999,-2779.410800000004,-2908.8733000000034
2025-06-04T14:21:32.000000,-129.462499999999,-2786.722800000004,-2916.1853000000033
2025-06-04T14:28:52.000000,-129.462499999999,-2796.8128500000043,-2926.2753500000035
2025-06-04T14:29:27.000000,-129.462499999999,-2800.906800000004,-2930.369300000003
2025-06-04T14:29:32.000000,-129.462499999999,-2805.0007500000033,-2934.4632500000025
2025-06-04T14:36:32.000000,-129.462499999999,-2801.3559000000037,-2930.818400000003
2025-06-04T14:44:52.000000,-129.462499999999,-2819.6967500000032,-2949.1592500000024
2025-06-04T14:45:02.000000,-129.462499999999,-2838.037600000003,-2967.500100000002
2025-06-05T09:51:52.000000,-129.462499999999,-2820.878800000003,-2950.3413000000023
2025-06-05T09:52:12.000000,-129.462499999999,-2884.105600000003,-3013.5681000000022
2025-06-05T09:55:47.000000,-129.462499999999,-2891.653600000003,-3021.116100000002
2025-06-05T09:57:37.000000,-129.462499999999,-3150.7026000000023,-3280.1651000000015
2025-06-05T10:01:27.000000,-129.462499999999,-3130.1408000000015,-3259.6033000000007
2025-06-05T10:01:37.000000,-129.462499999999,-3151.5629000000013,-3281.0254000000004
2025-06-05T10:02:12.000000,-129.462499999999,-3166.023150000001,-3295.48565
2025-06-05T10:02:17.000000,-129.462499999999,-3173.4823500000007,-3302.94485
2025-06-05T10:02:22.000000,-129.462499999999,-3173.9405000000006,-3303.403
2025-06-05T10:02:47.000000,-129.462499999999,-3132.409150000002,-3261.871650000001
2025-06-05T10:04:22.000000,-129.462499999999,-3154.3296500000015,-3283.7921500000007
2025-06-05T10:07:32.000000,-129.462499999999,-3161.7608500000015,-3291.2233500000007
2025-06-05T10:07:52.000000,-129.462499999999,-3199.313350000002,-3328.7758500000014
2025-06-05T10:08:02.000000,-129.462499999999,-3236.865850000003,-3366.328350000002
2025-06-05T10:08:42.000000,-129.462499999999,-3259.4281000000037,-3388.890600000003
2025-06-05T10:13:02.000000,-192.84049999999905,-3259.4281000000037,-3452.268600000003
2025-06-05T10:13:22.000000,-192.84049999999905,-3245.6609500000036,-3438.501450000003
2025-06-05T10:13:27.000000,-192.84049999999905,-3237.8899000000047,-3430.730400000004
2025-06-05T10:14:27.000000,-192.84049999999905,-3225.2245000000044,-3418.0650000000037
2025-06-05T10:15:07.000000,-192.84049999999905,-3224.5513000000033,-3417.3918000000026
2025-06-05T10:19:27.000000,-192.84049999999905,-3218.0868000000023,-3410.9273000000017
2025-06-05T10:20:22.000000,-192.84049999999905,-3249.708000000002,-3442.5485000000012
2025-06-05T10:27:17.000000,-192.84049999999905,-3256.159200000002,-3448.999700000001
2025-06-05T10:29:52.000000,-192.84049999999905,-3228.0834000000027,-3420.923900000002
2025-06-05T10:30:42.000000,-192.84049999999905,-3222.010900000003,-3414.8514000000023
2025-06-05T10:33:12.000000,-233.72144999999836,-3222.010900000003,-3455.7323500000016
2025-06-05T10:34:42.000000,-233.72144999999836,-3236.549550000003,-3470.2710000000015
2025-06-05T10:34:47.000000,-233.72144999999836,-3251.088200000003,-3484.8096500000015
2025-06-05T10:37:07.000000,-233.72144999999836,-3245.528000000004,-3479.2494500000025
2025-06-05T10:38:47.000000,-233.72144999999836,-3217.4522000000047,-3451.1736500000034
2025-06-05T10:39:57.000000,-233.72144999999836,-3210.021950000004,-3443.7434000000026
2025-06-05T10:41:17.000000,-233.72144999999836,-3205.4985500000043,-3439.220000000003
2025-06-05T11:05:47.000000,-233.72144999999836,-3176.8227500000053,-3410.544200000004
2025-06-05T11:07:57.000000,-233.72144999999836,-3145.1465000000057,-3378.8679500000044
2025-06-05T11:20:57.000000,-233.72144999999836,-3152.946500000006,-3386.6679500000046
2025-06-05T13:00:17.000000,-233.72144999999836,-3110.2430000000054,-3343.964450000004
2025-06-05T13:06:32.000000,-233.72144999999836,-3187.5495000000037,-3421.2709500000024
2025-06-05T13:06:37.000000,-233.72144999999836,-3274.8575000000037,-3508.5789500000024
2025-06-05T13:06:42.000000,-233.72144999999836,-3352.172000000004,-3585.8934500000028
2025-06-05T13:06:47.000000,-233.72144999999836,-3449.473500000006,-3683.1949500000046
2025-06-05T13:06:57.000000,-233.72144999999836,-3546.783000000006,-3780.5044500000045
2025-06-05T13:07:02.000000,-233.72144999999836,-3644.0845000000077,-3877.8059500000063
2025-06-05T13:08:32.000000,-233.72144999999836,-3711.3975000000064,-3945.118950000005
2025-06-05T13:08:42.000000,-233.72144999999836,-3778.710500000005,-4012.431950000004
2025-06-05T13:08:47.000000,-233.72144999999836,-3846.023500000004,-4079.7449500000025
2025-06-05T13:09:07.000000,-233.72144999999836,-3859.2676000000038,-4092.9890500000024
2025-06-05T13:09:37.000000,-233.72144999999836,-3836.6391000000026,-4070.3605500000012
2025-06-05T13:11:52.000000,-233.72144999999836,-3879.873300000003,-4113.594750000001
2025-06-05T13:12:07.000000,-233.72144999999836,-3887.249300000003,-4120.970750000001
2025-06-05T13:12:27.000000,-233.72144999999836,-3904.6268000000027,-4138.348250000001
2025-06-05T13:12:47.000000,-233.72144999999836,-3941.983300000004,-4175.704750000002
2025-06-05T13:13:02.000000,-233.72144999999836,-3979.3638000000033,-4213.085250000001
2025-06-05T13:13:02.000000,-233.72144999999836,-4026.713800000004,-4260.435250000002
2025-06-05T13:13:12.000000,-233.72144999999836,-4022.180800000004,-4255.902250000003
2025-06-05T13:13:12.000000,-233.72144999999836,-4089.565800000003,-4323.287250000001
2025-06-05T13:13:32.000000,-233.72144999999836,-4138.820100000004,-4372.541550000002
2025-06-05T13:13:37.000000,-233.72144999999836,-4185.071550000003,-4418.7930000000015
2025-06-05T13:13:47.000000,-233.72144999999836,-4222.420050000004,-4456.141500000002
2025-06-05T13:13:52.000000,-233.72144999999836,-4271.6719500000045,-4505.393400000003
2025-06-05T13:14:02.000000,-233.72144999999836,-4326.922350000004,-4560.643800000003
2025-06-05T13:16:47.000000,-233.72144999999836,-4358.183550000004,-4591.9050000000025
2025-06-05T13:17:17.000000,-233.72144999999836,-4375.561050000004,-4609.282500000002
2025-06-05T13:17:22.000000,-233.72144999999836,-4402.932050000003,-4636.653500000001
2025-06-05T13:17:57.000000,-233.72144999999836,-4409.351250000003,-4643.0727000000015
2025-06-05T13:18:07.000000,-233.72144999999836,-4371.635700000003,-4605.357150000002
2025-06-05T13:21:02.000000,-233.72144999999836,-4339.013700000002,-4572.73515
2025-06-05T13:21:12.000000,-233.72144999999836,-4296.398200000001,-4530.11965
2025-06-05T13:21:17.000000,-233.72144999999836,-4253.782700000001,-4487.504149999999
2025-06-05T13:21:22.000000,-233.72144999999836,-4221.160699999999,-4454.882149999998
2025-06-05T13:21:32.000000,-233.72144999999836,-4198.532199999999,-4432.253649999997
2025-06-05T13:23:42.000000,-233.72144999999836,-4215.9577,-4449.679149999998
2025-06-05T13:26:52.000000,-233.72144999999836,-4293.3922,-4527.113649999998
2025-06-05T13:29:27.000000,-233.72144999999836,-4380.7802,-4614.501649999998
2025-06-05T13:29:32.000000,-233.72144999999836,-4468.1682,-4701.889649999998
2025-06-05T13:29:37.000000,-233.72144999999836,-4555.5562,-4789.277649999998
2025-06-05T13:29:42.000000,-233.72144999999836,-4642.9442,-4876.665649999998
2025-06-05T13:29:47.000000,-233.72144999999836,-4730.3322,-4964.053649999998
2025-06-05T13:29:52.000000,-233.72144999999836,-4827.7217,-5061.443149999998
2025-06-05T13:30:02.000000,-233.72144999999836,-4935.1127,-5168.834149999998
2025-06-05T13:30:12.000000,-233.72144999999836,-5113.53755,-5347.258999999998
2025-06-05T13:30:22.000000,-233.72144999999836,-5276.96495,-5510.686399999998
2025-06-05T13:30:57.000000,-233.72144999999836,-5274.45145,-5508.172899999998
2025-06-05T13:31:17.000000,-233.72144999999836,-5281.931449999999,-5515.652899999997
2025-06-05T13:31:17.000000,-233.72144999999836,-5379.37055,-5613.091999999998
2025-06-05T13:31:22.000000,-233.72144999999836,-5500.79885,-5734.520299999998
2025-06-05T13:31:52.000000,-233.72144999999836,-5618.239350000002,-5851.9608
2025-06-05T13:32:02.000000,-233.72144999999836,-5735.687850000001,-5969.409299999999
2025-06-05T13:32:07.000000,-233.72144999999836,-5843.126850000002,-6076.848300000001
2025-06-05T13:32:12.000000,-233.72144999999836,-5940.572350000002,-6174.2938
2025-06-05T13:32:17.000000,-233.72144999999836,-6028.016350000003,-6261.737800000001
2025-06-05T13:32:27.000000,-233.72144999999836,-6107.457550000002,-6341.179
2025-06-05T13:32:27.000000,-233.72144999999836,-6184.892050000002,-6418.6135
2025-06-05T13:32:32.000000,-233.72144999999836,-6272.320050000002,-6506.0415
2025-06-05T13:32:37.000000,-233.72144999999836,-6349.746550000003,-6583.468000000001
2025-06-05T13:33:42.000000,-233.72144999999836,-6297.271150000003,-6530.992600000001
2025-06-05T13:33:57.000000,-233.72144999999836,-6289.780900000003,-6523.502350000002
2025-06-05T13:34:02.000000,-233.72144999999836,-6285.291100000004,-6519.012550000002
2025-06-05T13:34:12.000000,-233.72144999999836,-6310.793800000005,-6544.515250000003
2025-06-05T13:34:17.000000,-233.72144999999836,-6351.2915500000045,-6585.013000000003
