symbol,n_trades,total_pnl,total_entry_notional,return_rate
300390,23,1112.5665000000033,196978.0,0.005648176446100597
002945,29,1503.6231000000014,273294.0,0.005501851851851857
002008,12,517.3087499999974,99726.0,0.005187300703928739
002837,4,159.69315000000182,36669.0,0.004354990591507863
600977,211,8271.115350000004,1919882.0,0.0043081373490662465
600685,9,317.8791000000016,75222.0,0.004225879396984946
300003,56,2216.2631999999976,530124.0,0.00418065056477352
601456,5,155.15200000000019,46096.0,0.003365845192641448
600143,159,4970.145599999998,1488011.0,0.0033401269211047486
002153,375,11845.281450000013,3574601.0,0.003313735281224398
000062,45,1188.4622999999992,367233.0,0.003236262264012219
002603,22,429.13080000000537,193696.0,0.0022154861225838706
300595,9,178.51275000000098,83155.0,0.00214674703866275
300136,2,40.245200000000224,19704.0,0.002042488834754376
000528,175,3290.828100000009,1672873.0,0.001967171506743195
000683,35,655.2759999999912,339725.0,0.0019288424460960811
601696,469,6752.609750000017,4301694.0,0.0015697559496328695
300383,51,715.1141999999993,471432.0,0.0015168978771063469
300115,6,78.47559999999744,51924.0,0.001511355057391523
600549,32,367.9726000000001,265043.0,0.0013883505695302277
600435,414,4720.075600000012,3770811.0,0.001251740169422443
600580,258,2868.1416999999897,2379022.0,0.0012055969637943616
600927,174,1869.3440500000231,1597498.0,0.0011701698844067555
000400,14,133.1623999999963,133352.0,0.0009985781990521048
002423,86,774.9843500000146,807737.0,0.0009594513436923338
000426,15,133.12474999999745,139920.0,0.0009514347484276547
000519,410,3013.3722000000057,3588772.0,0.0008396666603506731
603659,1,7.558249999998793,9305.0,0.0008122783449756898
300207,32,152.9075999999934,278952.0,0.0005481502193925601
001696,60,312.23539999999696,584880.0,0.000533845233210226
002558,46,206.19745000000393,401166.0,0.000513995328617091
601231,1,4.4129999999997445,9486.0,0.0004652118912080692
002436,193,128.0959500000028,1806315.0,0.0000709156210295562
600906,5,1.7218499999991703,46605.0,0.00003694560669454287
000729,2,-0.7930999999990549,18494.0,-0.00004288417865248485
000032,37,-39.14020000000555,333984.0,-0.00011719184152535915
000933,3,-13.206499999998439,29010.0,-0.000455239572561132
300251,30,-151.37524999999914,295505.0,-0.000512259521835499
002185,186,-1064.8748500000172,1807314.0,-0.0005892030106556011
000987,165,-943.0813500000085,1587529.0,-0.0005940561400768165
000967,45,-263.9950500000022,430898.0,-0.0006126625094569996
300601,56,-366.08950000001283,505060.0,-0.0007248435829406661
601665,3,-23.6928,29616.0,-0.0007999999999999999
601611,1,-7.6320000000000014,9540.000000000002,-0.0008
002414,85,-688.6067000000008,798285.0,-0.0008626075900211088
600095,786,-6444.73594999995,7389018.0,-0.0008722046623786747
600820,37,-340.22725000000077,351523.0,-0.0009678662562620391
002797,119,-1116.0220499999948,1151228.0,-0.000969418785853015
000559,298,-2793.7487000000433,2879472.0,-0.0009702295073541411
002080,75,-656.726249999996,662240.0,-0.000991674090963995
002261,8,-72.90464999999915,72438.0,-0.0010064420607968077
600528,102,-1055.0036500000035,975053.0,-0.001081996209436824
300142,44,-432.95070000000766,398737.0,-0.0010858051798554127
002465,14,-144.13349999999915,127729.0,-0.0011284320710253674
300002,121,-1356.2227,1112711.0,-0.0012188454144876793
600884,126,-1628.068400000013,1204981.0,-0.0013511154117782879
002130,244,-3033.192749999997,2163821.0,-0.0014017761866623889
688425,187,-2561.5146000000036,1806810.0,-0.0014177000348680844
000009,11,-150.8955000000025,106107.0,-0.0014221069297973036
600673,22,-309.58799999999854,206937.0,-0.0014960495223183797
601179,90,-1386.59970000001,875852.0,-0.0015831438416536241
002673,51,-770.2777499999918,481525.0,-0.0015996630496858768
002624,40,-605.6444999999931,359514.0,-0.0016846200704283925
601666,34,-573.3725999999949,331907.0,-0.001727509814496214
600126,806,-13463.977149999995,7592299.0,-0.001773372880862568
600546,19,-322.34749999999923,180391.0,-0.0017869378184055703
002517,47,-840.3802999999888,447812.0,-0.001876636400989676
601965,2,-33.09964999999871,17616.0,-0.001878953792007193
002064,10,-181.60214999999786,95745.0,-0.0018967272442424968
600720,8,-151.75269999999807,77174.0,-0.001966370798455413
300450,28,-460.8588000000016,226165.0,-0.00203771052107975
601636,84,-1739.6890000000058,819423.0,-0.0021230658646389055
000878,10,-225.54524999999813,98154.0,-0.0022978712023962156
600879,11,-239.19460000000024,103964.0,-0.002300744488476783
002670,452,-9630.959100000005,4125042.0,-0.0023347541915936867
600392,775,-16423.83804999999,6983793.0,-0.002351707453242098
600380,1,-21.0748999999997,8855.0,-0.0023799999999999663
002532,37,-827.3064999999933,346680.0,-0.0023863692742586633
002926,98,-2350.867499999986,935721.0,-0.0025123594532985645
600295,15,-354.274199999998,137797.0,-0.0025709863059427854
600390,253,-6250.0687499999985,2425496.0,-0.002576820885295213
600378,1,-27.932600000000285,9912.0,-0.0028180589184826762
600521,23,-619.2747999999988,204060.0,-0.0030347682054297697
601155,8,-225.94679999999963,72486.0,-0.0031171095108020806
002120,19,-563.6228499999985,180700.0,-0.003119108190370772
601555,214,-6451.166050000006,2038990.0,-0.00316390274106298
002244,3,-94.56120000000007,28260.0,-0.003346114649681531
300285,9,-292.73774999999966,84630.0,-0.003459030485643385
300748,356,-10680.483050000026,3030529.0,-0.003524296599702569
600348,1,-35.81060000000065,9758.0,-0.0036698708751794064
600801,233,-8851.992849999982,2190316.0,-0.004041422721652941
002773,1,-37.20450000000042,9000.0,-0.00413383333333338
002152,53,-2323.0748999999964,506040.0,-0.004590694213896128
601615,1,-47.37240000000057,9208.0,-0.005144700260642981
601958,2,-113.26350000000039,19061.0,-0.00594215938303344
601001,17,-1038.9212500000035,155051.0,-0.006700513056994173
600562,2,-194.49179999999936,18081.0,-0.010756694873071144
300677,16,-1588.3585499999992,143946.0,-0.011034405610437241
